contrast			pos	-0.460	-0.460
contrast			neg	-0.727	-0.727
brightness			pos	-0.188	-0.188
brightness			neg	-0.357	-0.357
saturation			pos	-0.126	-0.126
saturation			neg	-0.074	-0.074
shadows				pos	-0.263	-0.263
shadows				neg	-0.215	-0.215
highlights			pos	-0.189	-0.189
highlights			neg	-0.106	-0.106
exposure			pos	-0.597	-0.597
exposure			neg	-0.528	-0.528
vibrance			pos	-0.010	-0.010
vibrance			neg	-0.046	-0.046
temperature			pos	-0.278	-0.278
temperature			neg	-0.387	-0.387
tint				pos	-0.427	-0.427
tint				neg	-0.398	-0.398
jpeg_compression	pos	-0.566	-0.566
defocus_blur		pos	-0.433	-0.433
motion_blur			pos	-0.477	-0.477
pixelate			pos	-0.445	-0.445
gaussian_noise		pos	-0.728	-0.728
impulse_noise		pos	-0.717	-0.717
rotate				pos	-0.165	-0.165
rotate				neg	-0.161	-0.161
hcrop				pos	-0.199	-0.199
hcrop				neg	-0.185	-0.185
vcrop				pos	-0.139	-0.139
vcrop				neg	-0.135	-0.135
leftcornerscrop		pos	-0.220	-0.220
leftcornerscrop		neg	-0.218	-0.218
rightcornerscrop	pos	-0.232	-0.232
rightcornerscrop	neg	-0.220	-0.220
ratio				pos	-0.215	-0.215
ratio				neg	-0.135	-0.135
