contrast			pos	-0.492	-0.492
contrast			neg	-0.785	-0.785
brightness			pos	-0.406	-0.406
brightness			neg	-0.323	-0.323
saturation			pos	-0.153	-0.153
saturation			neg	-0.164	-0.164
shadows				pos	-0.297	-0.297
shadows				neg	-0.261	-0.261
highlights			pos	-0.222	-0.222
highlights			neg	-0.023	-0.023
exposure			pos	-0.650	-0.650
exposure			neg	-0.629	-0.629
vibrance			pos	-0.035	-0.035
vibrance			neg	-0.040	-0.040
temperature			pos	-0.264	-0.264
temperature			neg	-0.566	-0.566
tint				pos	-0.411	-0.411
tint				neg	-0.434	-0.434
jpeg_compression	pos	-0.662	-0.662
defocus_blur		pos	-0.576	-0.576
motion_blur			pos	-0.458	-0.458
pixelate			pos	-0.518	-0.518
gaussian_noise		pos	-0.433	-0.433
impulse_noise		pos	-0.357	-0.357
rotate				pos	-0.092	-0.092
rotate				neg	-0.079	-0.079
hcrop				pos	-0.133	-0.133
hcrop				neg	-0.121	-0.121
vcrop				pos	-0.146	-0.146
vcrop				neg	-0.065	-0.065
leftcornerscrop		pos	-0.187	-0.187
leftcornerscrop		neg	-0.109	-0.109
rightcornerscrop	pos	-0.199	-0.199
rightcornerscrop	neg	-0.117	-0.117
ratio				pos	-0.188	-0.188
ratio				neg	-0.179	-0.179
