contrast,pos,(-0.3500692471564514, 0.17692049602911808)
contrast,neg,(-0.4876817799272139, 0.24855910762575176)
brightness,pos,(-0.214851025251563, 0.1758765102608742)
brightness,neg,(-0.4326247068928841, 0.17287572067911947)
saturation,pos,(0.0030243333734808024, 0.19452421343651402)
saturation,neg,(-0.23539594456418633, 0.2110105639111371)
shadows,pos,(-0.20545221237473196, 0.3125890950472595)
shadows,neg,(-0.3249413152103658, 0.2957831894022336)
highlights,pos,(-0.22295757299789457, 0.2751643564207882)
highlights,neg,(-0.04608253790352611, 0.29473003134485365)
exposure,pos,(-0.5233151859232276, 0.21543993763741195)
exposure,neg,(-0.7808472023274994, 0.09784818390678851)
vibrance,pos,(0.011005167980247222, 0.31140281519804447)
vibrance,neg,(-0.1285854688201839, 0.43417777777781874)
temperature,pos,(-0.23957154472230263, 0.16551018316932972)
temperature,neg,(-0.34781974354758083, 0.2670762063911019)
tint,pos,(-0.5642478421178824, 0.15602128141700247)
tint,neg,(-0.2196031325933587, 0.22854798718929106)
jpeg_compression,pos,(-0.6107020789159054, 0.20183789043878728)
defocus_blur,pos,(-0.21669155360763184, 0.29037958415586157)
motion_blur,pos,(-0.5197687077518536, 0.24151495113112928)
pixelate,pos,(-0.6089683426657393, 0.15787908401638015)
gaussian_noise,pos,(-0.41832735497033696, 0.29689698861001146)
impulse_noise,pos,(-0.4464925411014987, 0.2971155162545397)
rotate,pos,(-0.3323465140237646, 0.2796909883473823)
rotate,neg,(-0.3030011403382959, 0.28904469425559165)
hcrop,pos,(-0.07175659399757374, 0.4323060589251471)
hcrop,neg,(-0.08671160252390565, 0.435517685105172)
vcrop,pos,(-0.0093584149317974, 0.41619681913782736)
vcrop,neg,(-0.11347922157152292, 0.4057228677922282)
leftcornerscrop,pos,(-0.04095410506165378, 0.42030680341049065)
leftcornerscrop,neg,(-0.12689432042417068, 0.40270221782765425)
rightcornerscrop,pos,(-0.02724494945906739, 0.4181392283522929)
rightcornerscrop,neg,(-0.10830908598128958, 0.4071913032517615)
ratio,pos,(-0.32232397657460893, 0.26638563129085263)
ratio,neg,(-0.2292769272931035, 0.2831484547085517)
