contrast,pos,(-0.3221707138373771, 0.1812139440105418)
contrast,neg,(-0.7240418779613312, 0.16427544640664615)
brightness,pos,(-0.2824080516862516, 0.1773319110851544)
brightness,neg,(-0.39693637661859904, 0.1820931553883466)
saturation,pos,(0.022715192533083416, 0.20187807647351722)
saturation,neg,(-0.18621589322612223, 0.2496801309790626)
shadows,pos,(-0.17278246161684013, 0.3192826938954587)
shadows,neg,(-0.24369522841906677, 0.21816889523897726)
highlights,pos,(-0.19523260161862954, 0.19718989034436082)
highlights,neg,(-0.052580372174332576, 0.300842649275059)
exposure,pos,(-0.5084777328264024, 0.2209127859692632)
exposure,neg,(-0.5091880712837428, 0.18663326705972355)
vibrance,pos,(0.004560086259057673, 0.3182379719210847)
vibrance,neg,(-0.15813400447626325, 0.4291811149640285)
temperature,pos,(-0.03757047904262332, 0.15165763601998478)
temperature,neg,(-0.30673536168976584, 0.282695550990307)
tint,pos,(-0.5513274948174777, 0.17441742921720815)
tint,neg,(-0.1274823541289884, 0.25175821564722445)
jpeg_compression,pos,(-0.5145049155552418, 0.24802331769078015)
defocus_blur,pos,(-0.43571907442808633, 0.24041838121451822)
motion_blur,pos,(-0.37775023173362937, 0.29380578069664154)
pixelate,pos,(-0.4609151640334815, 0.20994885576994415)
gaussian_noise,pos,(-0.2803061941285476, 0.3613493279979851)
impulse_noise,pos,(-0.31341783806249507, 0.355122917648106)
rotate,pos,(-0.24880571468875337, 0.3100106474487949)
rotate,neg,(-0.24328121944947925, 0.3064247669787998)
hcrop,pos,(-0.038693732416816416, 0.4392306203664069)
hcrop,neg,(-0.05332163092933917, 0.44251652582263956)
vcrop,pos,(-0.03992997976880698, 0.4240546198819639)
vcrop,neg,(-0.027324844897523234, 0.423656080775635)
leftcornerscrop,pos,(-0.062099876302409804, 0.4246812418846734)
leftcornerscrop,neg,(-0.03873248045685212, 0.4232581073323618)
rightcornerscrop,pos,(-0.04264540680603543, 0.4248946152202033)
rightcornerscrop,neg,(-0.03271654602971278, 0.42147578211309644)
ratio,pos,(-0.27824976424297787, 0.2884308510434006)
ratio,neg,(-0.10665349211113369, 0.3055041986552135)
