c0.6_b1.2 mean: 5.800 | std: 4.623
c0.0_b1.6 mean: 4.905 | std: 5.048
c0.2_b1.0 mean: 5.333 | std: 4.683
c0.2_b0.8 mean: 5.495 | std: 4.628
c0.2_b1.2 mean: 5.407 | std: 4.659
c0.6_b0.6 mean: 5.719 | std: 4.554
c1.4_b1.0 mean: 5.878 | std: 4.469
c0.2_b1.8 mean: 5.622 | std: 4.489
c2.0_b1.4 mean: 6.088 | std: 4.230
c0.0_b2.0 mean: 4.911 | std: 5.058
c1.0_b0.2 mean: 5.608 | std: 4.636
c0.8_b1.2 mean: 5.983 | std: 4.296
c0.2_b1.6 mean: 5.432 | std: 4.601
c0.4_b0.6 mean: 5.514 | std: 4.529
c1.2_b1.4 mean: 6.086 | std: 4.294
c1.0_b0.8 mean: 5.873 | std: 4.291
c1.6_b1.8 mean: 6.158 | std: 4.005
c1.8_b0.8 mean: 6.083 | std: 4.244
c0.6_b1.0 mean: 6.012 | std: 4.209
c1.0_b1.4 mean: 6.142 | std: 4.320
c1.8_b0.6 mean: 6.076 | std: 4.225
c1.2_b1.0 mean: 6.014 | std: 4.268
c1.8_b0.4 mean: 5.709 | std: 4.573
c1.2_b0.4 mean: 5.678 | std: 4.530
c0.2_b2.0 mean: 5.462 | std: 4.577
c0.6_b0.4 mean: 5.618 | std: 4.548
c2.0_b1.0 mean: 5.962 | std: 4.353
c1.6_b1.0 mean: 6.121 | std: 4.175
c1.2_b1.2 mean: 6.116 | std: 4.076
c0.0_b0.6 mean: 4.856 | std: 5.054
c0.0_b1.2 mean: 4.894 | std: 5.046
c1.8_b1.6 mean: 5.919 | std: 4.334
c1.0_b0.6 mean: 5.749 | std: 4.534
c0.4_b1.6 mean: 5.691 | std: 4.595
orig mean: 6.248 | std: 4.069
c0.4_b1.8 mean: 5.769 | std: 4.486
c2.0_b2.0 mean: 6.014 | std: 4.248
c0.8_b0.6 mean: 6.056 | std: 4.294
c1.4_b1.2 mean: 5.838 | std: 4.461
c2.0_b0.4 mean: 5.482 | std: 4.716
c1.2_b0.0 mean: 4.936 | std: 5.059
c0.4_b0.2 mean: 5.194 | std: 4.881
c0.6_b0.8 mean: 5.769 | std: 4.494
c0.8_b0.4 mean: 5.769 | std: 4.424
c1.0_b1.8 mean: 6.046 | std: 4.128
c0.8_b0.0 mean: 4.936 | std: 5.059
c2.0_b1.6 mean: 6.089 | std: 4.095
c1.8_b0.0 mean: 4.936 | std: 5.059
c0.8_b1.0 mean: 5.976 | std: 4.239
c0.0_b0.4 mean: 4.862 | std: 5.047
c1.0_b0.0 mean: 4.936 | std: 5.059
c0.6_b1.8 mean: 5.887 | std: 4.406
c1.0_b0.4 mean: 5.768 | std: 4.442
c1.6_b1.6 mean: 6.097 | std: 4.043
c1.6_b0.8 mean: 6.135 | std: 4.198
c1.6_b1.2 mean: 5.937 | std: 4.436
c1.0_b1.6 mean: 6.019 | std: 4.160
c0.8_b0.8 mean: 5.949 | std: 4.302
c1.0_b1.2 mean: 6.244 | std: 4.199
c2.0_b0.6 mean: 5.922 | std: 4.316
c0.8_b1.6 mean: 6.058 | std: 4.155
c0.6_b0.2 mean: 5.456 | std: 4.702
c1.8_b1.0 mean: 6.110 | std: 4.161
c1.6_b1.4 mean: 6.220 | std: 4.099
c1.8_b1.4 mean: 6.121 | std: 4.228
c2.0_b0.8 mean: 6.033 | std: 4.189
c1.8_b1.2 mean: 5.889 | std: 4.258
c0.2_b0.6 mean: 5.311 | std: 4.797
c0.4_b1.0 mean: 5.644 | std: 4.648
c2.0_b1.8 mean: 6.028 | std: 4.219
c0.6_b0.0 mean: 4.936 | std: 5.059
c0.2_b1.4 mean: 5.351 | std: 4.698
c1.4_b1.6 mean: 6.098 | std: 4.108
c0.4_b0.0 mean: 4.936 | std: 5.059
c0.8_b2.0 mean: 5.871 | std: 4.376
c0.0_b1.0 mean: 4.883 | std: 5.055
c0.8_b1.4 mean: 5.956 | std: 4.408
c0.0_b0.0 mean: 4.936 | std: 5.059
c1.4_b0.0 mean: 4.936 | std: 5.059
c0.0_b0.2 mean: 4.880 | std: 5.073
c0.6_b1.4 mean: 6.096 | std: 4.198
c0.2_b0.2 mean: 5.037 | std: 4.983
c1.6_b0.2 mean: 5.391 | std: 4.769
c0.4_b1.2 mean: 5.621 | std: 4.608
c1.6_b0.4 mean: 5.747 | std: 4.548
