b, c, mean, std
0.0, 0.0, 4.936, 5.059
0.0, 0.2, 4.936, 5.059
0.0, 0.4, 4.936, 5.059
0.0, 0.6, 4.936, 5.059
0.0, 0.8, 4.936, 5.059
0.0, 1.0, 4.936, 5.059
0.0, 1.2, 4.936, 5.059
0.0, 1.4, 4.936, 5.059
0.0, 1.6, 4.936, 5.059
0.0, 1.8, 4.936, 5.059
0.0, 2.0, 4.936, 5.059
0.0, 2.2, 4.936, 5.059
0.0, 2.4, 4.936, 5.059
0.0, 2.6, 4.936, 5.059
0.0, 2.8, 4.936, 5.059
0.0, 3.0, 4.936, 5.059
0.2, 0.0, 4.880, 5.073
0.2, 0.2, 5.141, 4.972
0.2, 0.4, 5.285, 4.907
0.2, 0.6, 5.429, 4.781
0.2, 0.8, 5.507, 4.718
0.2, 1.0, 5.579, 4.679
0.2, 1.2, 5.577, 4.666
0.2, 1.4, 5.557, 4.660
0.2, 1.6, 5.527, 4.675
0.2, 1.8, 5.504, 4.677
0.2, 2.0, 5.484, 4.685
0.2, 2.2, 5.460, 4.691
0.2, 2.4, 5.441, 4.698
0.2, 2.6, 5.434, 4.693
0.2, 2.8, 5.421, 4.698
0.2, 3.0, 5.404, 4.700
0.4, 0.0, 4.862, 5.047
0.4, 0.2, 5.241, 4.881
0.4, 0.4, 5.472, 4.710
0.4, 0.6, 5.600, 4.650
0.4, 0.8, 5.674, 4.614
0.4, 1.0, 5.750, 4.584
0.4, 1.2, 5.741, 4.568
0.4, 1.4, 5.698, 4.591
0.4, 1.6, 5.668, 4.609
0.4, 1.8, 5.648, 4.622
0.4, 2.0, 5.646, 4.631
0.4, 2.2, 5.639, 4.633
0.4, 2.4, 5.628, 4.642
0.4, 2.6, 5.620, 4.650
0.4, 2.8, 5.607, 4.661
0.4, 3.0, 5.590, 4.663
0.6, 0.0, 4.856, 5.054
0.6, 0.2, 5.339, 4.771
0.6, 0.4, 5.563, 4.647
0.6, 0.6, 5.686, 4.599
0.6, 0.8, 5.787, 4.550
0.6, 1.0, 5.871, 4.487
0.6, 1.2, 5.873, 4.466
0.6, 1.4, 5.836, 4.519
0.6, 1.6, 5.805, 4.550
0.6, 1.8, 5.786, 4.581
0.6, 2.0, 5.778, 4.598
0.6, 2.2, 5.768, 4.605
0.6, 2.4, 5.759, 4.609
0.6, 2.6, 5.744, 4.615
0.6, 2.8, 5.736, 4.620
0.6, 3.0, 5.724, 4.628
0.8, 0.0, 4.859, 5.062
0.8, 0.2, 5.399, 4.693
0.8, 0.4, 5.620, 4.611
0.8, 0.6, 5.761, 4.556
0.8, 0.8, 5.870, 4.490
0.8, 1.0, 5.987, 4.380
0.8, 1.2, 5.978, 4.384
0.8, 1.4, 5.939, 4.457
0.8, 1.6, 5.912, 4.500
0.8, 1.8, 5.889, 4.524
0.8, 2.0, 5.878, 4.527
0.8, 2.2, 5.875, 4.525
0.8, 2.4, 5.868, 4.534
0.8, 2.6, 5.857, 4.542
0.8, 2.8, 5.852, 4.545
0.8, 3.0, 5.845, 4.549
1.0, 0.0, 4.883, 5.055
