change, mean, std
-1.0, 4.908, 5.070
-0.8, 4.769, 4.739
-0.6, 4.760, 4.597
-0.4, 4.868, 4.543
-0.2, 4.969, 4.430
0.0, 5.078, 4.465
0.2, 5.159, 4.549
0.4, 5.405, 4.595
0.6, 5.446, 4.638
0.8, 5.493, 4.665
1.0, 5.491, 4.689
1.2, 5.479, 4.728
1.4, 5.461, 4.741
1.6, 5.470, 4.770
1.8, 5.474, 4.790
2.0, 5.475, 4.808
2.2, 5.468, 4.834
2.4, 5.451, 4.864
2.6, 5.425, 4.875
2.8, 5.437, 4.870
3.0, 5.465, 4.854
3.2, 5.474, 4.847
3.4, 5.490, 4.858
3.6, 5.488, 4.878
3.8, 5.465, 4.893
4.0, 5.480, 4.886
4.2, 5.485, 4.896
4.4, 5.500, 4.890
4.6, 5.468, 4.908
4.8, 5.484, 4.901
5.0, 5.472, 4.895
