RTT(s),img,parameter,leftChanges,rightChanges,chosen,hashval,screenWidth,screenHeight,windowWidth,windowHeight,colorDepth,userid,count,useragent
42,/img/pexels-photo-3625576.jpeg,saturation,0.8,0.0,leftImage,-2967711091583063552,2560,1440,2543,1329,24,14d0562bfc0244a5a75a9d85cdcb413e,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
28,/img/pexels-photo-2138018.jpeg,contrast,0.0,-0.6,leftImage,8038884434063143936,2560,1440,2543,1329,24,14d0562bfc0244a5a75a9d85cdcb413e,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
10,/img/pexels-photo-860257.jpeg,exposure,0.0,0.6,leftImage,5013199214896521216,2560,1440,2543,1329,24,14d0562bfc0244a5a75a9d85cdcb413e,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
7,/img/pexels-photo-938044.jpeg,vibrance,20.0,25.0,unsure,-3067968659255084032,2560,1440,2543,1329,24,14d0562bfc0244a5a75a9d85cdcb413e,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/pexels-photo-1848569.jpeg,exposure,0.0,3.0,leftImage,7738852184068067328,2560,1440,2543,1329,24,892305c88679733916ad72e2f308fe4b,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/pexels-photo-580684.jpeg,lcontrast,0.6,6.0,leftImage,7681340900792269824,2560,1440,2543,1329,24,b7bc7c4992c6f659f3f12b8b7da73cd0,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
11,/img/pexels-photo-861108.jpeg,lcontrast,2.0,0.0,rightImage,-5189048544261637120,1920,1080,1905,963,24,020f37ec87590580414acaf1ad3a190f,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
5,/img/pexels-photo-3104708.jpeg,contrast,0.4,0.0,rightImage,-4356260966923904000,1920,1080,1350,963,24,020f37ec87590580414acaf1ad3a190f,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-2101153.jpeg,lcontrast,0.0,3.0,leftImage,3672872682949317120,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
2,/img/pexels-photo-2910208.jpeg,exposure,0.0,2.4,leftImage,-2338076515306018304,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
3,/img/pexels-photo-2229887.jpeg,lcontrast,0.6,0.0,unsure,2521559375886217728,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,3,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-1855568.jpeg,vibrance,20.0,25.0,unsure,-6975961324449858560,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
5,/img/pexels-photo-253924.jpeg,lcontrast,6.0,0.0,rightImage,-4630608991799113728,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,5,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
5,/img/pexels-photo-1475276.jpeg,lcontrast,9.0,10.0,unsure,-338306842544807680,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,6,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
4,/img/pexels-photo-1010655.jpeg,temperature,10000.0,20000.0,leftImage,1531341043185241856,1920,1080,1905,963,24,974c8f0959d95b959c06d3df4bbafeaa,7,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
